Time (s),PT3w (ohms-Hex),PT3s (ohms-Hex)
13851,8315,8290
13856,8316,8290
13861,8315,8290
13866,8316,8290
13871,8315,8289
13876,8315,8289
13881,8315,8290
13887,8315,8290
13892,8316,8289
13897,8316,8290
13902,8316,8290
13907,8315,8289
13912,8315,8289
13917,8315,8290
13922,8315,8290
13927,8316,8289
13932,8315,8289
13937,8316,8290
13942,8315,8289
13947,8315,8290
13952,8315,8288
13957,8316,8289
13962,8315,8289
13967,8315,8289
13972,8316,8289
13978,8315,8290
13983,8316,8288
13988,8315,8290
13993,8315,8289
13998,8316,8290
14003,8316,8290
14008,8315,8288
14013,8315,8289
14018,8316,8290
14023,8316,8289
14028,8315,8290
14033,8315,8290
14038,8316,8289
14043,8315,8291
14048,8315,8289
14053,8315,8290
14058,8315,8289
14063,8315,8290
14069,8315,8289
14074,8315,8289
14079,8316,8289
14084,8316,8289
14089,8315,8291
14094,8316,8289
14099,8316,8289
14104,8316,8290
14109,8315,8289
14114,8315,8289
14119,8316,8291
14124,8316,8289
14129,8316,8289
14134,8316,8290
14139,8316,8290
14144,8315,8289
14149,8315,8289
14154,8317,8288
14160,8315,8290
14165,8316,8289
14170,8315,8290
14175,8315,8290
14180,8315,8290
14185,8316,8290
14190,8315,8290
14195,8316,8290
14200,8316,8290
14205,8315,8290
14210,8315,8289
14215,8315,8288
14220,8315,8290
14225,8316,8291
14230,8316,8288
14235,8315,8290
14241,8315,8290
14246,8315,8289
14251,8316,8291
14256,8316,8289
14261,8315,8290
14266,8315,8290
14271,8316,8288
14276,8316,8289
14281,8316,8289
14286,8315,8290
14291,8315,8290
14296,8316,8290
14301,8316,8290
14306,8315,8289
14311,8316,8289
14316,8317,8291
14321,8316,8289
14326,8316,8290
14332,8315,8289
