Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
5642,25.099,23.096
5647,25.133,23.029
5653,25.133,23.13
5658,25.133,23.096
5663,25.133,23.063
5668,25.167,23.096
5673,25.133,23.096
5678,25.099,23.13
5683,25.133,23.096
5688,25.167,23.096
5693,25.133,23.096
5698,25.167,23.096
5703,25.133,23.096
5708,25.133,23.096
5713,25.133,23.13
5718,25.133,23.063
5723,25.167,23.096
5728,25.167,23.096
5733,25.133,23.096
5738,25.167,23.063
5744,25.133,23.13
5749,25.133,23.096
5754,25.133,23.13
5759,25.133,23.096
5764,25.133,23.13
5769,25.133,23.096
5774,25.167,23.164
5779,25.133,23.096
5784,25.167,23.164
5789,25.167,23.063
5794,25.167,23.13
5799,25.133,23.13
5804,25.167,23.096
5809,25.133,23.13
5814,25.167,23.13
5819,25.099,23.063
5824,25.167,23.13
5830,25.167,23.164
5835,25.167,23.096
5840,25.133,23.164
5845,25.167,23.13
5850,25.133,23.13
5855,25.167,23.164
5860,25.133,23.13
5865,25.167,23.198
5870,25.133,23.13
5875,25.133,23.13
5880,25.133,23.164
5885,25.167,23.13
5890,25.167,23.164
5895,25.167,23.096
5900,25.201,23.13
5905,25.133,23.198
5910,25.167,23.164
5915,25.167,23.13
5921,25.133,23.096
5926,25.167,23.13
5931,25.167,23.13
5936,25.167,23.13
5941,25.167,23.198
5946,25.167,23.096
5951,25.167,23.13
5956,25.167,23.164
5961,25.167,23.164
5966,25.167,23.198
5971,25.133,23.164
5976,25.167,23.164
5981,25.201,23.164
5986,25.167,23.096
5991,25.167,23.13
5996,25.167,23.164
6001,25.201,23.13
6007,25.167,23.198
6012,25.167,23.164
6017,25.167,23.164
6022,25.167,23.232
6027,25.133,23.198
6032,25.167,23.13
6037,25.201,23.164
6042,25.201,23.164
6047,25.133,23.198
6052,25.167,23.13
6057,25.133,23.198
6062,25.167,23.198
6067,25.201,23.198
6072,25.167,23.198
6077,25.167,23.232
6082,25.167,23.232
6087,25.167,23.232
6092,25.167,23.164
6098,25.201,23.198
6103,25.133,23.232
6108,25.167,23.232
6113,25.133,23.198
6118,25.201,23.198
6123,25.167,23.232
6128,25.167,23.232
6133,25.167,23.198
6138,25.167,23.232
6143,25.167,23.198
6148,25.167,23.198
6153,25.167,23.232
6158,25.133,23.198
6163,25.167,23.164
6168,25.133,23.198
6173,25.167,23.232
6178,25.133,23.232
